"","protein","frequency"
"25","ABL2",2
"30","ABRAXAS2",2
"43","ACBD6",2
"47","ACHE",2
"60","ACRV1",2
"71","ACVRL1",2
"78","ADAM10",2
"81","ADAM15",2
"82","ADAM17",2
"101","ADAMTSL1",2
"105","ADCYAP1",4
"113","ADGRE5",2
"131","ADM",2
"142","AFM",2
"151","AGO1",2
"155","AGR3",2
"163","AHSG",2
"180","AKR1B1",2
"189","AKT1",2
"191","AKT2",2
"216","ALPG",2
"217","ALPI",2
"222","AMIGO1",2
"223","AMIGO2",2
"232","AMY2B",2
"237","ANGPT2",2
"239","ANGPTL1",2
"240","ANGPTL3",2
"247","ANKRD1",2
"269","ANXA2",2
"274","ANXA7",2
"277","AOC1",2
"288","APBB1",2
"290","APBB2",2
"291","APBB3",2
"298","APLP2",2
"303","APOA5",2
"310","APOD",2
"311","APOE",4
"314","APOL1",3
"317","APOM",2
"337","ARHGAP1",2
"376","ARMC5",2
"388","ARSA",2
"391","ART3",2
"428","ATF5",2
"452","ATP5PB",2
"465","AXIN2",2
"468","AZU1",2
"469","B2M",2
"501","BAMBI",3
"512","BCAR3",2
"516","BCHE",2
"522","BCL2L10",2
"525","BCL2L2",2
"526","BCL6",2
"529","BDNF",2
"531","BECN1",2
"538","BGLAP",2
"539","BGN",2
"548","BIRC2",2
"551","BIRC7",2
"569","BMP3",2
"570","BMP4",2
"572","BMP6",2
"575","BMPER",2
"592","BPIFA2",2
"593","BPIFB1",2
"600","BRD2",2
"603","BRF1",2
"613","BTC",2
"614","BTD",2
"618","BTK",2
"625","BTN3A3",2
"642","C17orf78",2
"663","C1QL2",2
"668","C1QTNF4",3
"670","C1QTNF9",2
"673","C1S",2
"683","C3",6
"685","C4B|C4A",3
"689","C5",2
"696","C7",2
"699","C9",2
"701","CA10",2
"707","CA4",2
"710","CA6",2
"746","CAMP",2
"772","CASP10",3
"811","CCDC134",2
"829","CCL1",2
"833","CCL15",3
"841","CCL22",2
"842","CCL23",2
"844","CCL25",2
"851","CCL5",2
"852","CCL7",2
"853","CCL8",2
"858","CCN4",2
"869","CCNH",2
"877","CD14",2
"887","CD200R1",2
"890","CD209",3
"892","CD226",2
"894","CD247",2
"901","CD300C",2
"902","CD300E",2
"905","CD300LG",2
"911","CD38",2
"912","CD3E",2
"920","CD5",2
"923","CD59",2
"927","CD68",2
"930","CD70",2
"931","CD72",2
"932","CD74",2
"933","CD79A",2
"935","CD80",2
"936","CD81",2
"939","CD84",2
"940","CD86",2
"941","CD8A",2
"945","CD93",2
"957","CDCP1",3
"958","CDH1",3
"960","CDH11",3
"961","CDH12",2
"963","CDH15",2
"971","CDH6",2
"982","CDK2AP2",2
"993","CDNF",2
"1008","CEBPB",2
"1026","CERT1",2
"1027","CES1",2
"1028","CES3",2
"1039","CFD",2
"1042","CFHR1",2
"1046","CFHR5",3
"1067","CHEK2",2
"1069","CHGA",2
"1075","CHIT1",2
"1076","CHKB",2
"1077","CHL1",2
"1097","CHST15",2
"1098","CHST2",2
"1128","CLEC11A",2
"1140","CLEC4G",2
"1147","CLIC2",2
"1149","CLIC4",2
"1153","CLMP",2
"1154","CLN5",2
"1175","CMPK1",2
"1178","CNDP1",2
"1193","CNTFR",2
"1213","COL1A1",2
"1218","COL2A1",2
"1221","COL6A1",2
"1223","COL6A3",2
"1226","COL9A1",2
"1230","COLEC12",2
"1265","CPA1",2
"1268","CPB1",2
"1271","CPE",2
"1275","CPM",2
"1278","CPNE1",2
"1285","CPTP",2
"1307","CRH",2
"1309","CRIM1",3
"1320","CRLF2",2
"1347","CSF1",2
"1348","CSF1R",2
"1351","CSF2RB",2
"1352","CSF3",2
"1364","CSNK1G2",2
"1365","CSNK2A1",2
"1378","CST5",2
"1379","CST6",2
"1380","CST7",2
"1385","CSTPP1",2
"1390","CTAG1B|CTAG1A",2
"1395","CTF1",2
"1397","CTHRC1",2
"1399","CTNNA1",2
"1402","CTNNB1",3
"1410","CTSB",2
"1411","CTSC",2
"1414","CTSF",2
"1416","CTSH",2
"1436","CXCL11",2
"1437","CXCL12",3
"1438","CXCL13",2
"1442","CXCL2",2
"1443","CXCL3",2
"1447","CXCL9",2
"1462","CYP3A4",2
"1474","DAG1",2
"1488","DBNL",2
"1520","DDR1",2
"1521","DDR2",2
"1537","DEFA1",2
"1539","DEFA5",2
"1593","DKK2",2
"1594","DKK3",2
"1595","DKK4",2
"1596","DKKL1",2
"1598","DLD",2
"1603","DLK1",3
"1605","DLL1",2
"1614","DMKN",2
"1626","DNAJB14",2
"1644","DNAJC4",2
"1649","DNER",2
"1661","DOK2",2
"1664","DPEP1",2
"1694","DSG2",2
"1695","DSG3",2
"1697","DSTN",2
"1700","DTNA",2
"1732","DYRK3",2
"1735","EBAG9",2
"1739","ECE1",2
"1748","EDA",2
"1759","EDN3",2
"1762","EEF1A1",3
"1770","EFCAB14",2
"1775","EFNA2",3
"1776","EFNA3",2
"1777","EFNA4",2
"1779","EFNB1",2
"1780","EFNB2",2
"1781","EFNB3",2
"1783","EGF",2
"1786","EGFR",2
"1803","EIF2A",2
"1813","EIF4A2",2
"1819","EIF4EBP2",2
"1830","ELAPOR1",2
"1852","EMILIN3",2
"1859","ENO2",2
"1870","ENTPD1",2
"1880","EPHA10",2
"1883","EPHA4",2
"1886","EPHA7",2
"1889","EPHB2",2
"1892","EPHB6",2
"1896","EPOR",2
"1921","ERP29",2
"1924","ESAM",3
"1942","EVA1C",2
"1959","F10",2
"1964","F2",2
"1969","F9",2
"1974","FABP3",2
"1975","FABP4",2
"1984","FAIM",2
"1987","FAM110A",2
"1997","FAM171B",3
"2001","FAM189A2",2
"2006","FAM20C",2
"2012","FAM234B",2
"2017","FAM3B",2
"2019","FAM3D",2
"2029","FAS",4
"2036","FBLN1",2
"2037","FBLN5",2
"2041","FBXL4",2
"2053","FCGR2B",2
"2059","FCN1",3
"2060","FCN2",2
"2061","FCN3",2
"2065","FCRL4",2
"2083","FGF16",2
"2086","FGF19",2
"2095","FGF7",2
"2096","FGF8",5
"2098","FGFBP1",2
"2102","FGFR3",2
"2104","FGFRL1",2
"2106","FGG|FGB|FGA",2
"2132","FLNA",2
"2133","FLRT1",2
"2135","FLRT3",2
"2136","FLT1",2
"2138","FLT3LG",2
"2139","FLT4",2
"2142","FMR1",3
"2143","FN1",4
"2149","FOLH1",2
"2152","FOLR3",2
"2171","FRZB",2
"2200","FXN",2
"2206","FZD10",2
"2219","GABARAP",2
"2223","GABBR2",2
"2230","GAGE2D",2
"2278","GCNT4",2
"2282","GDF10",2
"2288","GDF7",2
"2290","GDI1",2
"2298","GFAP",2
"2318","GHRH",2
"2319","GHRL",3
"2326","GIP",2
"2327","GIPC1",2
"2342","GLP1R",2
"2370","GNAS",2
"2375","GNLY",2
"2382","GNS",2
"2384","GOLM1",2
"2385","GOLM2",2
"2392","GOT2",2
"2404","GPD1",2
"2410","GPNMB",4
"2411","GPR101",2
"2418","GPT",2
"2425","GRAMD1C",2
"2428","GRAP2",2
"2445","GRP",2
"2449","GSK3B",2
"2451","GSN",2
"2455","GSTA1",2
"2460","GSTM1",2
"2465","GSTP1",2
"2487","GZMA",2
"2488","GZMB",2
"2499","H2BC21",2
"2515","HAT1",2
"2518","HAVCR2",3
"2526","HBQ1",2
"2549","HDGF",2
"2562","HEPACAM2",2
"2574","HEXB",2
"2575","HEXIM1",2
"2577","HEY1",2
"2580","HGFAC",2
"2613","HMGB2",2
"2629","HNRNPA1",2
"2631","HNRNPAB",2
"2640","HNRNPR",2
"2642","HOMER1",2
"2651","HP",2
"2652","HPCAL1",2
"2658","HPX",3
"2667","HS3ST4",2
"2679","HSD17B7",2
"2695","HSPA6",2
"2706","HTATIP2",2
"2722","IBSP",2
"2725","ICAM2",2
"2727","ICAM4",2
"2728","ICAM5",3
"2729","ICOSLG",2
"2730","ID1",2
"2731","ID2",2
"2742","IFI16",2
"2747","IFNA10",2
"2752","IFNA4",2
"2757","IFNAR1",2
"2758","IFNB1",2
"2760","IFNG",2
"2762","IFNGR2",3
"2763","IFNL1",2
"2773","IGDCC3",2
"2775","IGF1",2
"2777","IGF2",2
"2778","IGF2R",2
"2780","IGFBP1",2
"2781","IGFBP2",4
"2784","IGFBP5",2
"2785","IGFBP6",2
"2800","IGSF11",2
"2808","IL10",2
"2809","IL10RA",3
"2812","IL11RA",2
"2817","IL12RB1",2
"2819","IL13",2
"2822","IL15RA",2
"2824","IL17A",2
"2825","IL17B",2
"2828","IL17F",2
"2831","IL17RB",2
"2837","IL18R1",2
"2838","IL18RAP",2
"2844","IL1R2",2
"2845","IL1RAP",2
"2857","IL22",2
"2858","IL22RA1",2
"2859","IL22RA2",2
"2879","IL4",2
"2882","IL5",2
"2883","IL5RA",2
"2884","IL6",2
"2885","IL6R",3
"2888","IL7",2
"2905","INHBA",3
"2909","INHBB",2
"2911","INHBC",2
"2936","IRAG2",2
"2938","IRF1",2
"2941","IRF4",2
"2947","ISG15",2
"2949","ISLR2",2
"2960","ITGA6",2
"2974","ITGB3|ITGA2B",3
"2989","ITM2C",2
"2999","JAG1",2
"3005","JAML",2
"3019","JUP",2
"3022","KAT2A",2
"3032","KCNE5",2
"3050","KCTD6",2
"3051","KCTD7",2
"3058","KEAP1",2
"3061","KHDC1L",2
"3082","KIR2DL4",2
"3083","KIR2DL5A",2
"3088","KIR3DL3",2
"3091","KIRREL2",2
"3111","KLK11",2
"3113","KLK13",2
"3114","KLK14",3
"3117","KLK3",4
"3120","KLK5",2
"3123","KLK8",2
"3126","KLRB1",2
"3128","KLRC3",2
"3130","KLRF1",2
"3131","KLRG2",2
"3132","KLRK1",2
"3137","KNG1",4
"3144","KRAS",2
"3145","KREMEN1",2
"3174","LAG3",2
"3186","LAP3",2
"3197","LCK",2
"3205","LCP1",2
"3210","LDHA",2
"3219","LECT2",2
"3220","LEFTY2",2
"3223","LEP",2
"3232","LGALS7",2
"3237","LGMN",2
"3239","LGR5",2
"3250","LILRA5",2
"3253","LILRB2",2
"3254","LILRB3",2
"3262","LIN7A",2
"3263","LIN7B",3
"3271","LMAN2",2
"3289","LRCH4",2
"3299","LRP1",3
"3301","LRP11",3
"3302","LRP12",2
"3314","LRRC25",2
"3320","LRRC4B",2
"3328","LRRN1",2
"3329","LRRTM1",2
"3332","LRRTM4",2
"3351","LTF",2
"3364","LYN",2
"3391","MAGEA3",2
"3392","MAGEA4",2
"3394","MAGEA6",2
"3399","MAGIX",2
"3425","MAP3K3",2
"3439","MAPK9",3
"3442","MAPKAPK5",2
"3443","MAPRE1",2
"3445","MAPRE3",2
"3448","MARCO",2
"3452","MASP1",3
"3459","MATN3",2
"3477","MCL1",2
"3483","MDH2",2
"3486","MDM2",2
"3507","MEOX2",2
"3508","MEP1A",2
"3510","MERTK",2
"3511","MESD",2
"3512","MET",2
"3524","MFAP2",2
"3540","MGAT5",2
"3548","MICB",2
"3554","MIF",2
"3577","MMP10",2
"3581","MMP16",2
"3585","MMP20",2
"3587","MMP7",2
"3588","MMP8",2
"3608","MPIG6B",2
"3655","MSR1",4
"3662","MSTN",2
"3666","MTCP1",2
"3683","MUC1",3
"3686","MUL1",2
"3691","MVD",2
"3697","MXRA8",2
"3715","MYL6B",2
"3723","MYORG",2
"3726","MYZAP",3
"3727","MZB1",2
"3772","NCAM1",2
"3787","NCR1",2
"3818","NECTIN1",3
"3826","NEGR1",2
"3837","NETO1",2
"3839","NEU1",2
"3866","NID2",2
"3876","NLGN1",3
"3877","NLGN2",2
"3878","NLGN3",2
"3897","NMT1",2
"3903","NOG",2
"3910","NOTCH2",3
"3920","NPM1",2
"3924","NPPB",3
"3930","NPTXR",2
"3952","NRG1",2
"3954","NRG3",2
"3960","NRP1",2
"3961","NRP2",2
"3963","NRXN1",3
"3965","NRXN3",2
"3980","NT5E",2
"3986","NTM",3
"3988","NTN1",2
"4000","NUDC",2
"4025","NXPH1",2
"4037","OCIAD1",2
"4050","OLFM2",2
"4051","OLFM3",2
"4054","OLFML3",2
"4056","OLR1",3
"4057","OMD",2
"4062","OPCML",2
"4071","OSCAR",2
"4072","OSM",2
"4091","OXT",2
"4096","P4HB",2
"4132","PARK7",3
"4133","PARP1",2
"4153","PCDH10",2
"4174","PCK2",2
"4177","PCNA",2
"4186","PCSK9",2
"4192","PDCD1",2
"4209","PDE5A",2
"4216","PDGFC",2
"4217","PDGFD",2
"4224","PDIA3",2
"4225","PDIA4",3
"4245","PEAR1",2
"4256","PEX14",2
"4270","PFN2",2
"4281","PGLYRP1",2
"4292","PGRMC2",3
"4293","PHB2",2
"4299","PHGDH",2
"4310","PIANP",2
"4326","PILRA",3
"4329","PIN1",2
"4333","PIP4K2B",2
"4343","PKD2",2
"4345","PKLR",2
"4358","PLA2G2E",2
"4389","PLG",3
"4399","PLTP",2
"4402","PLXDC2",2
"4405","PLXNB2",2
"4422","PNLIPRP2",2
"4426","PNP",2
"4453","POMC",3
"4461","POSTN",2
"4472","PPBP",4
"4482","PPIF",2
"4521","PRC1",2
"4552","PRL",2
"4554","PRLR",2
"4560","PROC",3
"4562","PROK1",2
"4568","PRPF6",2
"4576","PRRG1",2
"4583","PRSS27",2
"4584","PRSS3",2
"4588","PRSS8",2
"4591","PRTN3",2
"4611","PSMA1",2
"4654","PTGR1",2
"4658","PTH",2
"4663","PTK2B",2
"4673","PTPN11",2
"4739","RAB2A",2
"4751","RAB3D",3
"4783","RAET1L",2
"4827","RBP1",2
"4829","RBP4",2
"4837","RCN3",2
"4848","REG1B",3
"4849","REG3A",2
"4850","REG3G",2
"4856","RELT",2
"4886","RGS21",2
"4888","RGS4",2
"4909","RIPK2",2
"4922","RNASE3",2
"4931","RNF128",2
"4935","RNF148",2
"4938","RNF215",2
"4944","RNF43",2
"4946","RNGTT",2
"4950","ROBO2",2
"4952","ROBO4",2
"4956","ROR1",2
"4974","RPN1",2
"4988","RPS27A",2
"4996","RPS6KB1",3
"5007","RRM2B",2
"5009","RSPO1",2
"5010","RSPO2",2
"5011","RSPO3",2
"5038","S100A14",2
"5042","S100A4",2
"5047","S100A8",2
"5048","S100A9",2
"5052","SAA1",2
"5064","SAR1A",2
"5065","SAR1B",2
"5078","SCARA3",2
"5083","SCARF2",2
"5090","SCGB2A1",2
"5092","SCGN",2
"5102","SCP2",2
"5111","SDCBP2",2
"5135","SELPLG",2
"5139","SEMA3E",2
"5149","SEMA6A",2
"5151","SEMA6C",2
"5171","SERPINA10",2
"5175","SERPINA4",2
"5191","SERPINE2",2
"5192","SERPINF1",2
"5194","SERPING1",2
"5209","SFRP1",2
"5211","SFRP4",2
"5215","SFTPD",2
"5232","SH3GL2",2
"5233","SH3GL3",2
"5238","SHANK1",2
"5241","SHBG",2
"5242","SHC1",2
"5259","SIGLEC11",2
"5260","SIGLEC12",2
"5261","SIGLEC14",3
"5263","SIGLEC5",3
"5269","SIRPA",2
"5274","SIRT2",2
"5286","SLAMF7",2
"5305","SLC3A2",2
"5320","SLITRK1",2
"5330","SMAD2",2
"5346","SMOC1",2
"5349","SMPDL3A",2
"5361","SNCA",2
"5379","SNTA1",2
"5384","SNX1",2
"5400","SOD3",2
"5404","SORCS3",2
"5408","SOST",2
"5425","SPARC",2
"5426","SPARCL1",2
"5428","SPAST",2
"5464","SPOCK1",2
"5467","SPON1",2
"5478","SQSTM1",2
"5480","SRC",2
"5496","SSB",2
"5517","ST6GALNAC3",2
"5521","ST8SIA1",2
"5536","STAT1",2
"5537","STAT3",2
"5546","STIM1",2
"5550","STK17B",3
"5562","STUB1",2
"5567","STX1A",2
"5588","SULT1E1",2
"5596","SUMO3",2
"5606","SVEP1",2
"5612","SYK",2
"5632","SYTL4",2
"5638","TACSTD2",2
"5644","TAF15",2
"5651","TAGLN",2
"5652","TAGLN2",2
"5688","TCEA2",2
"5703","TCN1",2
"5704","TCN2",2
"5716","TEC",2
"5737","TFF2",2
"5738","TFF3",2
"5743","TFRC",2
"5745","TGFB1",3
"5763","THBS2",2
"5770","THPO",2
"5774","THSD7A",2
"5786","TIGIT",2
"5796","TIMP1",3
"5816","TLR1",2
"5825","TMCC3",2
"5838","TMEM132C",2
"5858","TMEM9",2
"5876","TNC",2
"5877","TNF",2
"5883","TNFRSF10B",3
"5890","TNFRSF14",3
"5892","TNFRSF18",2
"5895","TNFRSF1B",2
"5896","TNFRSF21",2
"5901","TNFRSF9",2
"5903","TNFSF11",2
"5906","TNFSF14",2
"5907","TNFSF15",2
"5909","TNFSF4",2
"5916","TNNI3",2
"5932","TOR1AIP1",2
"5936","TP53",2
"5949","TPM3",2
"5950","TPM4",2
"5960","TPSB2",2
"5961","TPSG1",2
"5964","TPT1",2
"5970","TRAF4",2
"5981","TREM2",3
"5982","TREML1",2
"5988","TRIL",2
"6027","TTC17",2
"6043","TXLNA",2
"6045","TXNDC11",2
"6046","TXNDC12",2
"6060","TYRO3",2
"6077","UBB",2
"6079","UBC",2
"6083","UBE2C",2
"6086","UBE2D3",2
"6099","UBE2L3|UBB",2
"6104","UBE2Q1",2
"6106","UBE2R2",2
"6127","UBXN4",2
"6144","ULBP1",2
"6145","ULBP2",2
"6153","UNC45A",2
"6155","UNC5B",3
"6157","UNC5D",3
"6202","VAMP2",2
"6218","VCAM1",2
"6226","VEGFA",4
"6229","VEGFD",2
"6237","VIT",2
"6240","VNN2",2
"6258","VSIR",2
"6259","VSNL1",2
"6260","VSTM1",2
"6267","VTN",2
"6270","VWC2",2
"6275","WAS",2
"6296","WFIKKN2",2
"6297","WIF1",2
"6303","WNT16",2
"6317","XCL1",2
"6343","YWHAB",2
"6345","YWHAG",2
"6346","YWHAH",2
"6351","ZAP70",2
"6370","ZFYVE27",2
"6407","ZNRF3",2
